Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-09-21,189.07079310162283,194.363513689872,188.29414682687468,194.20050048828125,39839700,0.0,0.0
2020-09-22,196.61673385251396,199.53157125670091,193.75943826186247,198.8795623779297,33517100,0.0,0.0
2020-09-23,199.33979123685637,199.53156801783257,191.79384015579785,192.33078002929688,30803800,0.0,0.0
2020-09-24,191.62124221661983,197.10572410762356,190.99799699279353,194.82371520996097,31202500,0.0,0.0
2020-09-25,195.1689485197336,200.43289155762255,194.2005253264332,199.2631378173828,29437300,0.0,0.0
2020-09-28,202.19711725030345,203.81753461508967,199.49322243628995,200.81640625,32004900,0.0,0.0
2020-09-29,200.7300759266091,201.4204312907619,198.29465155014975,198.7261199951172,24221900,0.0,0.0
2020-09-30,199.1768171334635,203.25182551081647,198.03581244692208,201.66976928710935,33829100,0.0,0.0
2020-10-01,204.69965571820293,205.17906845521924,202.6190061952141,203.71206665039065,27158400,0.0,0.0
2020-10-02,199.4356821956671,202.30257539421504,197.0769652861189,197.70021057128903,33154800,0.0,0.0
2020-10-05,198.68780529598595,201.74646073579936,198.4576819275136,201.7176971435547,21331600,0.0,0.0
2020-10-06,200.2219174695407,201.52590590584776,196.3866160530692,197.4317321777344,28554300,0.0,0.0
2020-10-07,198.5344027019716,201.458823359074,198.2084055482004,201.1903533935547,25681100,0.0,0.0
2020-10-08,201.84232954510335,202.4943384245125,199.7425142102119,201.90945434570312,19925800,0.0,0.0
2020-10-09,202.5326658550179,206.9720317159505,202.5326658550179,206.9240875244141,26458000,0.0,0.0
2020-10-12,209.7813705353107,214.64262158762784,207.8829006321009,212.28390502929688,40461400,0.0,0.0
2020-10-13,213.54958766520096,215.93706810447387,211.35386937390456,213.6838226318359,28950800,0.0,0.0
2020-10-14,213.81807545397243,214.9878436739825,210.107425642433,211.7661895751953,23421700,0.0,0.0
2020-10-15,208.1610248706064,211.2867907781944,207.1158939415105,210.61561584472656,22733100,0.0,0.0
2020-10-16,211.0854309828959,213.1373169969354,210.2896186814017,210.61561584472656,26057900,0.0,0.0
2020-10-19,211.34426516501912,213.1468613621215,204.92013875454347,205.39955139160156,27625800,0.0,0.0
2020-10-20,206.9145324215244,208.4198807511348,204.3161090474314,205.81187438964844,22753500,0.0,0.0
2020-10-21,204.3448845566899,207.9884243592295,204.3448845566899,205.95571899414065,22724900,0.0,0.0
2020-10-22,205.1215285452284,207.16383150568075,202.98335181479032,206.04200744628903,22351500,0.0,0.0
2020-10-23,206.17621001281267,207.3747416780643,204.38321132336048,207.32679748535156,18879600,0.0,0.0
2020-10-26,205.04482977945148,207.4322958032438,199.53158340310517,201.4300537109375,37111600,0.0,0.0
2020-10-27,202.8778441522253,205.8310278673544,201.6697295267006,204.4694976806641,36700300,0.0,0.0
2020-10-28,199.11932314453227,200.2411474115658,193.77867182384176,194.33477783203125,51195600,0.0,0.0
2020-10-29,195.6675255069353,198.82205494353832,194.99633595698424,196.2907562255859,31432600,0.0,0.0
2020-10-30,195.12096605234095,195.87843166985988,191.4007188728708,194.1333770751953,36953700,0.0,0.0
