Date,AAPL,JPM,JNJ,WMT,PG
2020-09-09 00:00:00-04:00,0.0398863801634414,0.0095074674148694,0.0165694357680046,0.01040084452309,0.0162571992534363
2020-09-10 00:00:00-04:00,-0.0326458275587688,-0.0103102342808867,-0.0186370732441322,-0.0220173575171793,-0.0104958496191094
2020-09-11 00:00:00-04:00,-0.0131286254208585,0.0124210791271333,0.0059217797526294,-0.0008040337636787,0.010533854229167
2020-09-14 00:00:00-04:00,0.0299997997137446,0.0138519124720735,0.0038567352706757,0.004535416229332,0.0035471203444046
2020-09-15 00:00:00-04:00,0.0015603810348501,-0.031131124397799,0.0036403736033054,0.0002914362589947,0.0
2020-09-16 00:00:00-04:00,-0.0295136833496074,0.0042303219415962,-0.0032911408563371,-0.0080083214661099,-0.0067083209424059
2020-09-17 00:00:00-04:00,-0.0159635476250815,-0.0114341207212185,-0.0082883430512026,0.0031556460655897,-0.0013070361947954
2020-09-18 00:00:00-04:00,-0.0317201922445371,-0.0021306125325128,0.0136574794715702,-0.0102418976276961,-0.0010910827107745
2020-09-21 00:00:00-04:00,0.0303258504329753,-0.0309101654741472,-0.0273492524361899,0.0131567969907628,-0.0048043987129274
2020-09-22 00:00:00-04:00,0.0157156855033158,-0.0109118741594033,-0.0061334268823995,0.009046615943751,0.0091432611819561
2020-09-23 00:00:00-04:00,-0.041945983166722,-0.0162298630702195,0.0015947588281923,-0.0167738823428811,-0.0119599438569157
2020-09-24 00:00:00-04:00,0.0102686606069393,-0.0008627151989908,0.00159215870367,0.0052208334983545,0.0044754701368667
2020-09-25 00:00:00-04:00,0.0375162446459074,0.0087417568748657,0.0068433183297109,0.0041695135486752,0.0051122659891678
2020-09-28 00:00:00-04:00,0.0238690773159659,0.0287790420894435,0.0099545731873069,-0.0001455031006549,0.0028340389572136
2020-09-29 00:00:00-04:00,-0.00756794558213,-0.0084233968203301,-0.0003402139938843,-0.000801456172388,-0.0054346680309482
2020-09-30 00:00:00-04:00,0.0150756629284409,0.0096487390481161,0.012376384392194,0.020198563790087,0.0126039621348368
2020-10-01 00:00:00-04:00,0.0084622627159129,0.0072712831172823,-0.0104783378299709,0.0226572292382098,0.001798741806289
2020-10-02 00:00:00-04:00,-0.0322802829714391,0.0094874539839047,-0.0073309316578464,-0.0180318934388444,-0.0080436860623563
2020-10-05 00:00:00-04:00,0.030791338887592,0.021136165725893,0.0136075681274916,0.0092525856960705,0.0091947546486033
2020-10-06 00:00:00-04:00,-0.0286696655523235,-0.0102987554713965,-0.0132903174335015,-0.0082508197999255,0.0015784026599767
2020-10-07 00:00:00-04:00,0.0169671631644552,0.0174453051592262,0.0110765169862647,0.0018487015207666,0.0078074067459288
2020-10-08 00:00:00-04:00,-0.0009558861766862,0.0205556408889948,0.0068297791317593,0.0033359076774988,0.0067520492394272
2020-10-09 00:00:00-04:00,0.017395763634121,-0.005698605089037,0.0139698262249261,0.0100455297366635,0.0089656161504578
2020-10-12 00:00:00-04:00,0.0635206425978569,0.0122530322923437,0.0057630538590254,0.0102952546536372,0.0109853021059265
2020-10-13 00:00:00-04:00,-0.0265275168922667,-0.0162048214630803,-0.0229190824300479,0.0137261527572438,-0.0019379748846629
2020-10-14 00:00:00-04:00,0.0007432752245304,-0.0055564876842355,-0.0017522146441587,-0.0156601733572087,-0.0011787049069638
2020-10-15 00:00:00-04:00,-0.003960650945477,0.0149670576368221,-0.0061448825065336,0.0040989789501479,-0.0014580370056684
2020-10-16 00:00:00-04:00,-0.0140006033768179,-0.0020645652344993,0.006182875550343,0.0012453604571951,0.003893255713931
2020-10-19 00:00:00-04:00,-0.0255417266545943,-0.016845607297143,-0.025523301561771,-0.0121620700495354,-0.0171752763989645
2020-10-20 00:00:00-04:00,0.0131918612813581,0.0057115301759047,0.0015936654799888,0.0066454440889611,0.0040163816487326
2020-10-21 00:00:00-04:00,-0.0054464458301606,-0.0099630687071566,-0.0042895187774494,0.0034744990119934,0.0054043274491855
2020-10-22 00:00:00-04:00,-0.0095832579721505,0.0353223104388999,0.0079902273467273,-0.0058864431263204,-0.0070826181494606
2020-10-23 00:00:00-04:00,-0.0061340306430486,0.0090397086723224,0.0011029718133872,0.0020899706110169,0.0065745142470672
2020-10-26 00:00:00-04:00,8.713351595468488e-05,-0.0247569077860958,-0.0087440798605725,-0.0117482183729482,-0.0075852015270869
2020-10-27 00:00:00-04:00,0.0134722721404836,-0.0188659235264959,-0.0056957462809485,0.00499432657067,0.0075018376789166
2020-10-28 00:00:00-04:00,-0.0463121956948726,-0.0280884345180499,-0.0334616952738059,-0.0198082148562427,-0.0330147274262715
2020-10-29 00:00:00-04:00,0.0370505168660169,0.0065260297509732,-0.008455998928548,-0.0008569765530794,-0.0006540276213465
2020-10-30 00:00:00-04:00,-0.0560180585421273,0.0089535770893192,-0.000583138547613,-0.0083618550349915,-0.0034164507408218
2020-11-02 00:00:00-05:00,-0.0008267033392287,0.0225416682354648,0.011523642057706,0.0118919649236948,0.0102115916746119
2020-11-03 00:00:00-05:00,0.0153533208597878,0.0315212298918381,-0.0013700702057091,0.0169517503310936,0.0196389613107652
2020-11-04 00:00:00-05:00,0.0408367786606669,-0.0305580040220241,0.0064983220535272,-0.0057434829658925,-0.0041069861689109
2020-11-05 00:00:00-05:00,0.0354936251993596,0.0408977737175828,0.0025824582328581,0.0106368102999176,0.0123717691916878
2020-11-06 00:00:00-05:00,-0.0011360808157324,-0.0133205786624197,0.017816271782729,0.016031300508811,0.0059699624017439
