Date,AAPL,GOOGL,MSFT,AMZN,TSLA
2020-09-09 00:00:00-04:00,0.0398863801634414,0.0155094883027486,0.0425834556765691,0.0377066241814576,0.1092334943382573
2020-09-10 00:00:00-04:00,-0.0326458275587688,-0.0136891031151715,-0.0280181818866531,-0.0286054510021445,0.0138145825877706
2020-09-11 00:00:00-04:00,-0.0131286254208585,-0.0067428470035401,-0.0065247036138215,-0.0185473174294996,0.0037162634432792
2020-09-14 00:00:00-04:00,0.0299997997137446,-0.004571893725067,0.0067636432899065,-0.004251985314208,0.1258317707423399
2020-09-15 00:00:00-04:00,0.0015603810348501,0.0174239944801872,0.0164060061973425,0.0171320044076346,0.0718268514026634
2020-09-16 00:00:00-04:00,-0.0295136833496074,-0.0150019223875402,-0.0178654567174226,-0.0247233443179839,-0.017787298462508
2020-09-17 00:00:00-04:00,-0.0159635476250815,-0.0165666773970243,-0.0104365228395805,-0.0225366679892503,-0.0414931245294233
2020-09-18 00:00:00-04:00,-0.0317201922445371,-0.0241756118226564,-0.0124194788325424,-0.0178879087810678,0.0442104184349159
2020-09-21 00:00:00-04:00,0.0303258504329753,-0.0144372764770498,0.01072933407592,0.0018816131825081,0.016374511668703
2020-09-22 00:00:00-04:00,0.0157156855033158,0.0207532932833443,0.0240938939469832,0.0569233598477991,-0.0559869468234628
2020-09-23 00:00:00-04:00,-0.041945983166722,-0.0345454836056454,-0.0329283827374288,-0.0412688916514207,-0.1034109073848393
2020-09-24 00:00:00-04:00,0.0102686606069393,0.0095573572678053,0.012961944815341,0.0066436817881205,0.0195341463945935
2020-09-25 00:00:00-04:00,0.0375162446459074,0.0113855857379829,0.0227865510335629,0.0249487430734429,0.0504138512137659
2020-09-28 00:00:00-04:00,0.0238690773159659,0.0136199172249007,0.0077950621904985,0.025498115680328,0.0340255940397897
2020-09-29 00:00:00-04:00,-0.00756794558213,0.0050458385407436,-0.0104087904726669,-0.0091901268055588,-0.0050569194155491
2020-09-30 00:00:00-04:00,0.0150756629284409,-0.0002865838948437,0.0148124390918844,0.0012241460404771,0.023719120314277
2020-10-01 00:00:00-04:00,0.0084622627159129,0.0152157143687561,0.0101270149899796,0.0230347523173155,0.044637748768495
2020-10-02 00:00:00-04:00,-0.0322802829714391,-0.0217085165847,-0.029511536444324,-0.0298827380233387,-0.0737906918190171
2020-10-05 00:00:00-04:00,0.030791338887592,0.018707204285767,0.020321026982558,0.0237440429687501,0.0255125317897579
2020-10-06 00:00:00-04:00,-0.0286696655523235,-0.0214521991953988,-0.0212471926516119,-0.0310202888657681,-0.0274853935119243
2020-10-07 00:00:00-04:00,0.0169671631644552,0.0055959584098326,0.0190373406924413,0.0308810371069987,0.0273442972661894
2020-10-08 00:00:00-04:00,-0.0009558861766862,0.0166467977022415,0.0035744598360176,-0.0016084400175445,0.0014577830589765
2020-10-09 00:00:00-04:00,0.017395763634121,0.018214479736337,0.0248362742218137,0.0301202491412073,0.0189707754339791
2020-10-12 00:00:00-04:00,0.0635206425978569,0.0358437589432056,0.0259021084094137,0.0475499074022058,0.0191243951639483
2020-10-13 00:00:00-04:00,-0.0265275168922667,0.0015849780771679,0.0065945531844298,0.0002033364732005,0.0098349328842701
2020-10-14 00:00:00-04:00,0.0007432752245304,-0.0023165478548986,-0.0089743747207937,-0.0232080805474116,0.0327997181163728
2020-10-15 00:00:00-04:00,-0.003960650945477,-0.0050976546468578,-0.005433083444544,-0.007450142689235,-0.0269239074303192
2020-10-16 00:00:00-04:00,-0.0140006033768179,0.0078625060149077,0.0,-0.0197504809833339,-0.0205176804695688
2020-10-19 00:00:00-04:00,-0.0255417266545943,-0.0240798141317958,-0.0247655837666056,-0.0200139574577284,-0.0201060143441705
2020-10-20 00:00:00-04:00,0.0131918612813581,0.0138110075294186,0.0020071215746031,0.0030555543397112,-0.0206345875446588
2020-10-21 00:00:00-04:00,-0.0054464458301606,0.0225067736758006,0.0006988389605464,-0.0099688867749156,0.0016590325709362
2020-10-22 00:00:00-04:00,-0.0095832579721505,0.013032933961635,0.0004190401905179,-0.0026812857408547,0.007453064711647
2020-10-23 00:00:00-04:00,-0.0061340306430486,0.0163819603912813,0.0062357959258152,0.0088149718670293,-0.0121185517556048
2020-10-26 00:00:00-04:00,8.713351595468488e-05,-0.0298167933951357,-0.0284419995597382,0.0008238907949942,-0.0008320996760948
2020-10-27 00:00:00-04:00,0.0134722721404836,0.0092092699235193,0.0150894797551595,0.024723687101579,0.0104691598237565
2020-10-28 00:00:00-04:00,-0.0463121956948726,-0.0550886702349751,-0.0495661454820458,-0.0375950699837286,-0.0439389751905624
2020-10-29 00:00:00-04:00,0.0370505168660169,0.0305004433989639,0.0100649171689337,0.0152492358496374,0.0118467013663008
2020-10-30 00:00:00-04:00,-0.0560180585421273,0.0380440730553159,-0.0109905016344701,-0.0544564552314909,-0.0554730521894949
2020-11-02 00:00:00-05:00,-0.0008267033392287,0.0050801666154074,-0.0006915971224717,-0.0104309480406591,0.0321358266613487
2020-11-03 00:00:00-05:00,0.0153533208597878,0.0131376076943525,0.0202639216242095,0.014621516534147,0.0584006170111943
2020-11-04 00:00:00-05:00,0.0408367786606669,0.0608815598905332,0.048249015538609,0.0632296629402453,-0.0068884846035798
2020-11-05 00:00:00-05:00,0.0354936251993596,0.0095367310760534,0.0318867726793858,0.0249417336989234,0.0406433005438622
2020-11-06 00:00:00-05:00,-0.0011360808157324,-0.001571522520874,0.001925664188084,-0.0031999360619097,-0.0185806557047475
