Date,Exchange_Rate,US_Rate,JP_Rate,Carry_Differential,Daily_Carry,FX_Return,Carry_Trade_Return,Cumulative_Carry,Cumulative_FX,Cumulative_Interest
2018-05-30,108.3939971923828,,0.0069006353218549,,,-0.009096003685354348,,,-0.09424849094201637,0.0
2018-05-31,108.71199798583984,,-0.1146302066247776,,,0.0029337491161309792,,,-0.09159124325288326,0.0
2018-06-01,108.7490005493164,,-0.0154579542011365,,,0.00034037239828288435,,,-0.09128204598572809,0.0
2018-06-02,108.7490005493164,,-0.0939954889062108,,,0.0,,,-0.09128204598572809,0.0
2018-06-03,108.7490005493164,,-0.0859057730294596,,,0.0,,,-0.09128204598572809,0.0
2018-06-04,109.5979995727539,,-0.0766007130369445,,,0.007806959320536322,,,-0.08418772188489765,0.0
2018-06-05,109.96299743652344,,-0.0439299272484186,,,0.0033303332651362094,,,-0.08113776179047072,0.0
2018-06-06,109.85900115966795,,-0.1204555736374615,,,-0.0009457388328788507,,,-0.08200676549121144,0.0
2018-06-07,110.125,,-0.0933097102134694,,,0.0024212748843897014,,,-0.07978405152845569,0.0
2018-06-08,109.69400024414062,,-0.0918474202095384,,,-0.003913732175794604,,,-0.08338553029466811,0.0
2018-06-09,109.69400024414062,,-0.1072150215113995,,,0.0,,,-0.08338553029466811,0.0
2018-06-10,109.69400024414062,,-0.0571518444620961,,,0.0,,,-0.08338553029466811,0.0
2018-06-11,109.44300079345705,,-0.0326591509782555,,,-0.002288178479451397,,,-0.08548290779820156,0.0
2018-06-12,110.38600158691406,,-0.0939496156752686,,,0.008616364560732892,,,-0.07760309513476948,0.0
2018-06-13,110.4520034790039,,-0.0569058818154555,,,0.0005979190399234557,,,-0.0770515764629841,0.0
2018-06-14,110.24199676513672,,-0.0625915768709404,,,-0.001901339108865585,,,-0.0788064143961209,0.0
2018-06-15,110.6449966430664,,-0.040025677395126,,,0.003655593056684614,,,-0.07543890552072496,0.0
2018-06-16,110.6449966430664,,-0.0636037298932508,,,0.0,,,-0.07543890552072496,0.0
2018-06-17,110.6449966430664,,-0.0721754201235871,,,0.0,,,-0.07543890552072496,0.0
2018-06-18,110.61699676513672,,-0.054126083032303,,,-0.0002530604978010498,,,-0.07567287541154133,0.0
2018-06-19,110.13800048828124,,-0.0348216295489609,,,-0.00433022311998299,,,-0.07967541809686163,0.0
2018-06-20,110.0709991455078,,-0.027628365579669,,,-0.0006083399233361986,,,-0.08023528828246096,0.0
2018-06-21,110.35199737548828,,0.0132045092539323,,,0.002552881614248159,,,-0.07788723786048302,0.0
2018-06-22,109.9520034790039,,-0.0776938477819942,,,-0.0036247091670061904,,,-0.08122962844242354,0.0
2018-06-23,109.9520034790039,,-0.0696125412062792,,,0.0,,,-0.08122962844242354,0.0
2018-06-24,109.9520034790039,,-0.0405896042437936,,,0.0,,,-0.08122962844242354,0.0
2018-06-25,109.93699645996094,,-0.0156481913235714,,,-0.00013648699949186938,,,-0.08135502865365951,0.0
2018-06-26,109.64299774169922,,-0.0333612418247681,,,-0.002674247320998968,,,-0.08381171250723163,0.0
2018-06-27,110.09700012207033,,-0.065928109941611,,,0.00414073301279716,,,-0.08001802141927228,0.0
2018-06-28,110.21499633789062,,-0.0774982428027206,,,0.0010717477832227207,,,-0.07903203277312354,0.0
2018-06-29,110.48600006103516,,-0.0075594740390597,,,0.002458864330165289,,,-0.07676749748928458,0.0
2018-06-30,110.48600006103516,,-0.1013967052996395,,,0.0,,,-0.07676749748928458,0.0
2018-07-01,110.48600006103516,,-0.0347997160122177,,,0.0,,,-0.07676749748928458,0.0
2018-07-02,110.70999908447266,,-0.09274653768163,,,0.002027397347299731,,,-0.07489573836275343,0.0
2018-07-03,110.87100219726562,,-0.0394575238770843,,,0.0014542779705934983,,,-0.07355037961455224,0.0
2018-07-04,110.40799713134766,,-0.0768989269472609,,,-0.004176069997943843,,,-0.0774192980788504,0.0
2018-07-05,110.5019989013672,,-0.0509800079097437,,,0.0008514036343554299,,,-0.07663380951624854,0.0
2018-07-06,110.5790023803711,,0.0051661745552153,,,0.000696851457615999,,,-0.07599036044049656,0.0
2018-07-07,110.5790023803711,,-0.1134674273475009,,,0.0,,,-0.07599036044049656,0.0
2018-07-08,110.5790023803711,,-0.0219809014282005,,,0.0,,,-0.07599036044049656,0.0
2018-07-09,110.4219970703125,,-0.056832516969392,,,-0.001419847409352859,,,-0.07730231313344216,0.0
2018-07-10,110.9530029296875,,-0.0429536017296482,,,0.004808877519547838,,,-0.07286517296973083,0.0
2018-07-11,110.83100128173828,,-0.0608303340883481,,,-0.0010995795041846002,,,-0.07388463142314905,0.0
2018-07-12,111.95800018310548,,-0.0135864922718742,,,0.010168625098877504,,,-0.0644673114417823,0.0
2018-07-13,112.66500091552734,,-0.0316188540464982,,,0.006314874607134646,,,-0.0585595398226616,0.0
2018-07-14,112.66500091552734,,-0.0119167270813448,,,0.0,,,-0.0585595398226616,0.0
2018-07-15,112.66500091552734,,-0.0878024156788018,,,0.0,,,-0.0585595398226616,0.0
2018-07-16,112.39900207519533,,-0.0655252482047076,,,-0.002360971359077646,,,-0.06078225378541713,0.0
2018-07-17,112.3740005493164,,-0.065097463616734,,,-0.00022243547911748873,,,-0.06099116913479197,0.0
2018-07-18,113.01200103759766,,-0.0684167338781956,,,0.005677474194764942,,,-0.05565997072889839,0.0
2018-07-19,112.79100036621094,,-0.05065521243418,,,-0.0019555504668322676,,,-0.0575066753139879,0.0
2018-07-20,112.36299896240234,,-0.0220516912005409,,,-0.003794641437871449,,,-0.06108309953875868,0.0
2018-07-21,112.36299896240234,,-0.0834604442419596,,,0.0,,,-0.06108309953875868,0.0
2018-07-22,112.36299896240234,,-0.0242290701536619,,,0.0,,,-0.06108309953875868,0.0
2018-07-23,111.0530014038086,,-0.0748271505846702,,,-0.01165862045949917,,,-0.0720295753242457,0.0
2018-07-24,111.45999908447266,,-0.0032554826692875,,,0.003664895820187253,,,-0.06862866039359417,0.0
2018-07-25,111.24099731445312,,-0.0611846424082569,,,-0.001964846328892933,,,-0.07045866195105588,0.0
2018-07-26,110.84500122070312,,-0.0283739249026902,,,-0.0035598035194759348,,,-0.07376764647774092,0.0
2018-07-27,111.14600372314452,,-0.0785628954694572,,,0.002715526177333505,,,-0.07125243827545802,0.0
2018-07-28,111.14600372314452,,-0.0564531820231968,,,0.0,,,-0.07125243827545802,0.0
2018-07-29,111.14600372314452,,-0.0723032762324526,,,0.0,,,-0.07125243827545802,0.0
2018-07-30,110.93399810791016,,-0.0480918496160234,,,-0.0019074515334123188,,,-0.0730239792362225,0.0
2018-07-31,110.99400329589844,,-0.0259553080454784,,,0.0005409089099079889,,,-0.07252256964732029,0.0
2018-08-01,111.80799865722656,,-0.0543021534345206,,,0.007333687741292616,,,-0.06572073978601722,0.0
2018-08-02,111.62000274658205,,-0.0622854608190115,,,-0.0016814173663984855,,,-0.06729165315920693,0.0
2018-08-03,111.69000244140624,,-0.0606804734370438,,,0.0006271250053908606,,,-0.0667067284321663,0.0
2018-08-04,111.69000244140624,,-0.0561372077665024,,,0.0,,,-0.0667067284321663,0.0
2018-08-05,111.69000244140624,,-0.0571626866173772,,,0.0,,,-0.0667067284321663,0.0
2018-08-06,111.23400115966795,,-0.0391407785135347,,,-0.004082740368615445,,,-0.07051712254775344,0.0
2018-08-07,111.33999633789062,,-0.0635901539819637,,,0.0009529026836905263,,,-0.06963141581938481,0.0
2018-08-08,111.34500122070312,,-0.0581403453429063,,,4.495134701909542e-05,,,-0.0695895944983016,0.0
2018-08-09,110.89199829101562,,-0.0808665506384698,,,-0.004068462209538937,,,-0.0733749340724471,0.0
2018-08-10,111.09100341796876,,-0.0412285424552755,,,0.0017945850919818263,,,-0.0717120265432768,0.0
2018-08-11,111.09100341796876,,-0.0371795062284626,,,0.0,,,-0.0717120265432768,0.0
2018-08-12,111.09100341796876,,-0.0730153232493514,,,0.0,,,-0.0717120265432768,0.0
2018-08-13,110.62899780273438,,-0.0206724837230351,,,-0.0041588031525481295,,,-0.07557259349376111,0.0
