Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-09-21,71.09067964908306,71.50978608796002,69.65359282698576,71.0171890258789,56908000,0.0,0.0
2020-09-22,72.01926781530388,72.6970954516438,70.98539825039516,72.49101257324219,33950000,0.0,0.0
2020-09-23,72.10717911063132,72.15633956441027,69.65360420010029,69.98680114746094,37726000,0.0,0.0
2020-09-24,69.65359421940595,71.40699611483514,69.62727125517097,70.65567779541016,34552000,0.0,0.0
2020-09-25,70.76443424115384,71.80177424957328,69.90188356916153,71.46013641357422,30326000,0.0,0.0
2020-09-28,73.09536442492873,73.14501739118445,71.81867020192774,72.43342590332031,30784000,0.0,0.0
2020-09-29,72.69412780151184,73.0958523244427,72.20201563977825,72.79890441894531,31816000,0.0,0.0
2020-09-30,72.54663995974896,73.80098915091598,72.28941896718779,72.77804565429688,40924000,0.0,0.0
2020-10-01,73.67486065011207,74.24145605727813,73.33420782483996,73.88540649414062,32884000,0.0,0.0
2020-10-02,72.481583309123,73.44494012589321,71.87179071906452,72.28146362304688,31222000,0.0,0.0
2020-10-05,72.63154541138412,73.72649424598391,72.50442384220007,73.63363647460938,21602000,0.0,0.0
2020-10-06,73.26965381491353,73.71756095605366,71.7555984119484,72.05403900146484,26096000,0.0,0.0
2020-10-07,72.46570105992748,72.94539430554703,71.1706323457871,72.45726013183594,36108000,0.0,0.0
2020-10-08,72.77059285124541,73.891857179053,72.77059285124541,73.66343688964844,26076000,0.0,0.0
2020-10-09,74.13170347927738,75.07470056543451,73.84071121636063,75.00518035888672,32966000,0.0,0.0
2020-10-12,76.3732501983166,78.87697791738763,75.94122471846515,77.69364166259766,55344000,0.0,0.0
2020-10-13,78.31037728461482,78.71508712820557,77.39767369347942,77.81678009033203,39072000,0.0,0.0
2020-10-14,78.19071970768324,78.65004562010033,76.76554399767635,77.63653564453125,33174000,0.0,0.0
2020-10-15,76.69601789191054,78.03180603986702,76.52867688240575,77.24076080322266,31210000,0.0,0.0
2020-10-16,77.55659111297165,78.3451511286696,77.34952316792459,77.84808349609375,34194000,0.0,0.0
2020-10-19,78.25676680097237,78.65402842642588,75.62442454282707,75.9735107421875,29734000,0.0,0.0
2020-10-20,75.63384710979612,78.1529714473702,75.50424022967013,77.02276611328125,41670000,0.0,0.0
2020-10-21,77.95483812956394,80.20383009011108,77.82026822454186,78.75630950927734,60322000,0.0,0.0
2020-10-22,78.70714832278779,80.11841230278098,78.33372441699296,79.78273010253906,30512000,0.0,0.0
2020-10-23,80.19936290074068,81.14633045232473,80.04343304769533,81.0897216796875,30548000,0.0,0.0
2020-10-26,80.19687961430068,80.92088242116448,77.85205190328901,78.6718978881836,35826000,0.0,0.0
2020-10-27,78.90230306606628,79.5513224818934,78.30939232777347,79.39639282226562,25902000,0.0,0.0
2020-10-28,76.96964916905097,77.15834257562899,74.9073726095302,75.02257537841797,45174000,0.0,0.0
2020-10-29,75.33143128379692,78.8928663291568,75.30809370967367,77.31078338623047,55406000,0.0,0.0
