Date,AAPL,MSFT,GOOGL,TSLA,NVDA,BRK-B,JNJ,WMT,PG,V,SPY,QQQ,TLT,GLD,VTI,VEA,BTC-USD,ETH-USD,EURUSD=X,GBPUSD=X,USDJPY=X
2020-09-21,107.07677459716795,194.20050048828125,71.0171890258789,149.79666137695312,12.47915744781494,213.02000427246097,125.81217956542967,42.61957550048828,120.80683135986328,190.50851440429688,305.6664123535156,259.76416015625,142.0435791015625,179.52000427246094,155.28335571289062,35.126312255859375,,,,,
2020-09-22,108.7595672607422,198.8795623779297,72.49101257324219,141.41000366210938,12.599289894104004,214.16000366210935,125.04048919677734,43.00513458251953,121.91143035888672,193.5091857910156,308.7794189453125,264.59027099609375,141.93125915527344,178.64999389648438,156.82644653320312,35.1176872253418,,,,,
2020-09-23,104.19754028320312,192.33078002929688,69.98680114746094,126.7866668701172,12.086851119995115,209.61000061035156,125.23992919921876,42.28377532958984,120.45335388183594,188.50160217285156,301.6184997558594,256.51116943359375,142.1213836669922,174.7899932861328,153.04310607910156,34.75556182861328,,,,,
2020-09-24,105.26750946044922,194.82371520996097,70.65567779541016,129.26333618164062,12.310420989990234,208.72000122070312,125.43934631347656,42.50452423095703,120.9923858642578,188.6463623046875,302.42242431640625,257.7055969238281,142.66567993164062,175.44000244140625,153.36843872070312,34.70382308959961,,,,,
2020-09-25,109.2167510986328,199.2631378173828,71.46013641357422,135.77999877929688,12.834571838378906,210.4499969482422,126.29779052734376,42.6817626953125,121.6109848022461,190.31556701660156,307.311767578125,263.6968994140625,142.66567993164062,174.94000244140625,155.83627319335938,34.83315658569336,,,,,
2020-09-28,111.82362365722656,200.81640625,72.43342590332031,140.39999389648438,12.99532985687256,213.5399932861328,127.55504608154295,42.675537109375,121.9555892944336,193.2776336669922,312.4159851074219,269.1736755371094,142.2595977783203,176.6999969482422,158.66445922851562,35.40220642089844,,,,,
2020-09-29,110.97736358642578,198.7261199951172,72.79890441894531,139.69000244140625,13.18549919128418,210.44000244140625,127.51162719726562,42.64134216308594,121.29283142089844,192.42857360839844,310.7144775390625,267.9598388671875,142.423828125,178.19000244140625,157.77774047851562,35.35047912597656,,,,,
2020-09-30,112.65045166015624,201.66976928710935,72.77804565429688,143.00332641601562,13.4893217086792,212.94000244140625,129.08969116210938,43.50262451171875,122.82166290283205,192.93994140625,313.07037353515625,269.79510498046875,141.0586395263672,177.1199951171875,158.96315002441406,35.264259338378906,,,,,
2020-10-01,113.6037139892578,203.71206665039065,73.88540649414062,149.3866729736328,13.573065757751465,212.02000427246097,127.7370834350586,44.48827362060547,123.04253387451172,196.2010955810547,315.08026123046875,274.07745361328125,141.2913055419922,178.6999969482422,160.2885284423828,35.47118377685547,,,,,
2020-10-02,109.9365463256836,197.70021057128903,72.28146362304688,138.3633270263672,13.022497177124023,211.17999267578125,126.80066680908205,43.68606948852539,122.05284881591795,194.3775329589844,312.0887451171875,266.3672790527344,140.76368713378906,178.5399932861328,159.03781127929688,35.393585205078125,,,,,
2020-10-05,113.32162475585938,201.7176971435547,73.63363647460938,141.89332580566406,13.60098361968994,212.36000061035156,128.52610778808594,44.090293884277344,123.17505645751952,196.38442993164065,317.6230773925781,272.04791259765625,138.0132598876953,179.41000366210938,161.9032745361328,35.945396423339844,,,,,
2020-10-06,110.07274627685548,197.4317321777344,72.05403900146484,137.9933319091797,13.694696426391602,210.2599945068359,126.8179931640625,43.72649383544922,123.36945343017578,193.4030303955078,313.1077575683594,267.1927490234375,138.757080078125,177.3000030517578,159.90579223632812,35.574649810791016,,,,,
2020-10-07,111.94036865234376,201.1903533935547,72.45726013183594,141.76666259765625,13.921504020690918,213.2899932861328,128.22262573242188,43.807334899902344,124.3326644897461,195.35202026367188,318.5578918457031,271.8147888183594,137.74517822265625,177.22000122070312,162.69662475585938,35.91091537475586,,,,,
2020-10-08,111.8333511352539,201.90945434570312,73.66343688964844,141.97332763671875,13.796634674072266,215.1499938964844,129.09837341308594,43.953468322753906,125.17218017578124,195.84408569335935,321.38116455078125,273.26171875,138.48898315429688,177.85000610351562,164.1246795654297,36.178199768066406,,,,,
2020-10-09,113.7787857055664,206.9240875244141,75.00518035888672,144.6666717529297,13.720863342285156,215.67999267578125,130.9019012451172,44.394996643066406,126.29444122314452,199.3754425048828,324.25115966796875,277.4371643066406,138.46304321289062,181.0800018310547,165.506103515625,36.41960906982422,,,,,
2020-10-12,121.00608825683594,212.28390502929688,77.69364166259766,147.43333435058594,14.18270492553711,216.41000366210935,131.65625,44.85206985473633,127.68181610107422,199.14385986328125,329.4675598144531,286.00177001953125,138.90411376953125,180.55999755859375,167.96087646484375,36.600677490234375,,,,,
2020-10-13,117.796142578125,213.6838226318359,77.81678009033203,148.88333129882812,14.204888343811035,212.30999755859375,128.6388397216797,45.46772003173828,127.43439483642578,197.13702392578125,327.3174743652344,285.99212646484375,139.8987579345703,177.72000122070312,167.07415771484375,36.19544219970703,,,,,
2020-10-14,117.88367462158205,211.7661895751953,77.63653564453125,153.76666259765625,14.05235481262207,210.91000366210935,128.41343688964844,44.75568389892578,127.28417205810548,195.091552734375,325.2608337402344,283.60333251953125,140.21881103515625,178.27000427246094,165.9634246826172,36.11783981323242,,,,,
2020-10-15,117.4167709350586,210.61561584472656,77.24076080322266,149.6266632080078,13.927482604980469,211.6499938964844,127.62438201904295,44.93913269042969,127.0985870361328,192.53472900390625,324.8587646484375,281.7001037597656,139.97671508789062,178.9199981689453,166.01943969726562,35.72122573852539,,,,,
