Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Daily_Return
2022-09-27 00:00:00-04:00,152.25,152.72999572753906,151.5,151.5399932861328,7151300,0.0,0.0,0.0,0.002049841746687875
2022-09-28 00:00:00-04:00,153.1999969482422,154.8800048828125,152.92999267578125,154.69000244140625,8977200,0.0,0.0,0.0,0.02078665233491006
2022-09-29 00:00:00-04:00,154.13999938964844,155.02999877929688,153.16000366210938,154.66000366210938,6317000,0.0,0.0,0.0,-0.00019392836526865853
2022-09-30 00:00:00-04:00,154.94000244140625,156.0399932861328,154.57000732421875,154.6699981689453,6832400,0.0,0.0,0.0,6.462244018679009e-05
2022-10-03 00:00:00-04:00,155.44000244140625,158.47999572753906,155.22999572753906,158.42999267578125,10362200,0.0,0.0,0.0,0.024309785681440932
2022-10-04 00:00:00-04:00,159.17999267578125,161.0800018310547,158.9199981689453,160.6999969482422,8024500,0.0,0.0,0.0,0.014328122056449066
2022-10-05 00:00:00-04:00,159.32000732421875,160.0800018310547,158.3800048828125,159.80999755859375,5296300,0.0,0.0,0.0,-0.005538266375543777
2022-10-06 00:00:00-04:00,159.41000366210938,159.94000244140625,158.9499969482422,159.6300048828125,5712600,0.0,0.0,0.0,-0.00112629171222689
2022-10-07 00:00:00-04:00,158.4600067138672,158.97999572753906,157.67999267578125,157.8800048828125,5030000,0.0,0.0,0.0,-0.010962851258976669
2022-10-10 00:00:00-04:00,155.94000244140625,156.35000610351562,155.1199951171875,155.47999572753906,6110800,0.0,0.0,0.0,-0.015201476317757034
2022-10-11 00:00:00-04:00,155.49000549316406,156.80999755859375,154.9199981689453,155.16000366210938,5306700,0.0,0.0,0.0,-0.002058091550185215
2022-10-12 00:00:00-04:00,155.50999450683594,156.2899932861328,155.25999450683594,155.99000549316406,3998500,0.0,0.0,0.0,0.00534932850905423
2022-10-13 00:00:00-04:00,153.47999572753906,155.72999572753906,152.9199981689453,154.91000366210938,7083800,0.0,0.0,0.0,-0.006923532232980256
2022-10-14 00:00:00-04:00,154.02000427246094,154.1999969482422,152.72000122070312,152.97999572753906,5471900,0.0,0.0,0.0,-0.012458897998479546
2022-10-17 00:00:00-04:00,154.9199981689453,155.3300018310547,153.32000732421875,153.4199981689453,4348000,0.0,0.0,0.0,0.0028762090057179446
2022-10-18 00:00:00-04:00,154.0800018310547,154.24000549316406,153.24000549316406,153.75,4528400,0.0,0.0,0.0,0.0021509701146735782
2022-10-19 00:00:00-04:00,152.08999633789062,152.49000549316406,151.5399932861328,151.69000244140625,8257100,0.0,0.0,0.0,-0.013398358104674823
2022-10-20 00:00:00-04:00,151.9199981689453,153.22999572753906,151.27000427246094,151.4499969482422,5019800,0.0,0.0,0.0,-0.0015822103586343728
2022-10-21 00:00:00-04:00,151.97999572753906,154.30999755859375,151.8300018310547,154.14999389648438,6898400,0.0,0.0,0.0,0.017827646105301076
2022-10-24 00:00:00-04:00,153.4499969482422,154.05999755859375,153.05999755859375,153.64999389648438,4673300,0.0,0.0,0.0,-0.003243594030472474
2022-10-25 00:00:00-04:00,153.9600067138672,154.7899932861328,153.8300018310547,154.0,3434100,0.0,0.0,0.0,0.002277944142005106
2022-10-26 00:00:00-04:00,154.77999877929688,155.72999572753906,154.77999877929688,154.97999572753906,4448200,0.0,0.0,0.0,0.006363608620383543
2022-10-27 00:00:00-04:00,154.7100067138672,155.08999633789062,154.22000122070312,154.74000549316406,3654900,0.0,0.0,0.0,-0.001548523944967184
2022-10-28 00:00:00-04:00,152.9600067138672,153.5399932861328,152.5,153.16000366210938,4645400,0.0,0.0,0.0,-0.010210687443231947
