Date,Futures_Price,ETF_Price,Futures_Return,ETF_Return
2024-09-24 00:00:00-04:00,5792.0,564.4378051757812,,
2024-09-25 00:00:00-04:00,5779.0,563.19287109375,-0.0022444751381215378,-0.0022056178211584676
2024-09-26 00:00:00-04:00,5804.5,565.42578125,0.004412528119051684,0.003964734411345816
2024-09-27 00:00:00-04:00,5791.25,564.6058349609375,-0.0022827116892066845,-0.001450139551913976
2024-09-30 00:00:00-04:00,5814.25,566.8682861328125,0.003971508741636098,0.004007133883112468
2024-10-01 00:00:00-04:00,5759.75,561.7899780273438,-0.009373521950380548,-0.008958532748609138
2024-10-02 00:00:00-04:00,5760.25,562.0271606445312,8.680932332127966e-05,0.00042219090134065773
2024-10-03 00:00:00-04:00,5749.5,560.9996337890625,-0.0018662384445119473,-0.0018282512437484133
2024-10-04 00:00:00-04:00,5800.0,566.0975952148438,0.008783372467171091,0.00908728120078961
2024-10-07 00:00:00-04:00,5744.75,560.9798583984375,-0.009525862068965552,-0.009040379008259158
2024-10-08 00:00:00-04:00,5800.5,566.285400390625,0.009704512816049338,0.009457633661455356
2024-10-09 00:00:00-04:00,5841.25,570.2076416015625,0.007025256443410122,0.006926262284409734
2024-10-10 00:00:00-04:00,5829.0,569.2098999023438,-0.0020971538626149977,-0.0017497866153044495
2024-10-11 00:00:00-04:00,5859.75,572.618408203125,0.005275347400926389,0.005988139527028702
2024-10-14 00:00:00-04:00,5908.25,577.301513671875,0.008276803617901729,0.008178405377231135
2024-10-15 00:00:00-04:00,5862.75,572.8160400390625,-0.007701095925189305,-0.007769724358217989
2024-10-16 00:00:00-04:00,5887.0,575.3056640625,0.004136284166986526,0.004346288946915244
2024-10-17 00:00:00-04:00,5887.0,575.3551025390625,0.0,8.593427746461657e-05
2024-10-18 00:00:00-04:00,5906.0,577.5682373046875,0.0032274503142517563,0.003846554511915068
2024-10-21 00:00:00-04:00,5896.25,576.6197509765625,-0.0016508635286149875,-0.00164220652532987
2024-10-22 00:00:00-04:00,5892.5,576.3135375976562,-0.0006359974560101733,-0.0005310490637679965
2024-10-23 00:00:00-04:00,5837.75,571.0474853515625,-0.009291472210437024,-0.009137477956955742
2024-10-24 00:00:00-04:00,5849.0,572.282470703125,0.001927112329236369,0.0021626666489953372
2024-10-25 00:00:00-04:00,5846.0,572.0848388671875,-0.0005129081894340581,-0.0003453396636361461
2024-10-28 00:00:00-04:00,5861.5,573.8533935546875,0.002651385562777886,0.003091420305775028
2024-10-29 00:00:00-04:00,5871.0,574.7820434570312,0.0016207455429497752,0.0016182702982574515
2024-10-30 00:00:00-04:00,5852.0,573.0432739257812,-0.003236245954692518,-0.0030250936873256196
2024-10-31 00:00:00-04:00,5738.5,561.8097534179688,-0.019395078605604965,-0.01960326736034146
2024-11-01 00:00:00-04:00,5758.25,564.1809692382812,0.0034416659405767103,0.004220674001984337
2024-11-04 00:00:00-05:00,5743.25,562.9656982421875,-0.0026049581035905156,-0.0021540446458775397
2024-11-05 00:00:00-05:00,5812.25,569.7730102539062,0.012014103512819396,0.012091877059248857
2024-11-06 00:00:00-05:00,5958.25,583.940673828125,0.025119359972471944,0.024865452240191654
2024-11-07 00:00:00-05:00,6003.75,588.455810546875,0.007636470440145926,0.007732183971961071
2024-11-08 00:00:00-05:00,6025.25,591.0048217773438,0.0035810951488652876,0.004331695234855104
2024-11-11 00:00:00-05:00,6031.75,591.5679931640625,0.0010787934110618735,0.000952904893440909
2024-11-12 00:00:00-05:00,6013.0,589.7303466796875,-0.0031085505864798524,-0.0031063994428538466
2024-11-13 00:00:00-05:00,6016.0,590.016845703125,0.0004989190088142692,0.000485813601166285
2024-11-14 00:00:00-05:00,5978.25,586.2229614257812,-0.0062749335106383475,-0.006430128741193086
2024-11-15 00:00:00-05:00,5896.5,578.7142333984375,-0.013674570317400603,-0.01280865561642519
2024-11-18 00:00:00-05:00,5920.0,581.08544921875,0.0039854150767404395,0.004097386384274371
2024-11-19 00:00:00-05:00,5938.75,583.2096557617188,0.0031672297297298257,0.00365558378001829
2024-11-20 00:00:00-05:00,5937.75,583.4072265625,-0.00016838560303089611,0.00033876462577286937
2024-11-21 00:00:00-05:00,5970.5,586.5391235351562,0.005515557239695212,0.00536828621597607
2024-11-22 00:00:00-05:00,5987.0,588.3570556640625,0.0027635876392262393,0.0030994217707922544
2024-11-25 00:00:00-05:00,6006.5,590.3528442382812,0.0032570569567396124,0.0033921384217381334
2024-11-26 00:00:00-05:00,6038.25,593.4353637695312,0.005285940231416042,0.005221486711438406
2024-11-27 00:00:00-05:00,6015.0,591.6370849609375,-0.0038504533598310298,-0.0030302858885439266
2024-11-29 00:00:00-05:00,6051.5,595.3125,0.006068162926018195,0.006212279677000332
2024-12-02 00:00:00-05:00,6061.75,596.3795166015625,0.001693794926877601,0.0017923638451442514
2024-12-03 00:00:00-05:00,6063.25,596.6561279296875,0.00024745329319086906,0.0004638176201980926
2024-12-04 00:00:00-05:00,6098.5,600.361083984375,0.005813713767369055,0.006209533232388376
