Date,QQQ,TQQQ
2023-09-27,0.0023431401706464072,0.006088778219570434
2023-09-28,0.008365327622565921,0.024207492015770438
2023-09-29,0.0007261311250432723,0.0022508589571408333
2023-10-02,0.008345699072476842,0.023863149587432853
2023-10-03,-0.01754940004368044,-0.052920197891973664
2023-10-04,0.013608563822402608,0.04053248658506825
2023-10-05,-0.002946464967663376,-0.010573023689315009
2023-10-06,0.016755392745858133,0.050337449961073144
2023-10-09,0.0051001353366810775,0.014725741096428324
2023-10-10,0.005537950013745574,0.01635864473515003
2023-10-11,0.0071351026246693205,0.021287570870905492
2023-10-12,-0.003474910672259912,-0.011692877749399644
2023-10-13,-0.012569951834990323,-0.037808492703436225
2023-10-16,0.011306523844806682,0.03368062111985681
2023-10-17,-0.00327559240019748,-0.009568062103039732
2023-10-18,-0.013117992715293347,-0.04229763615838411
2023-10-19,-0.009356743342873064,-0.026717557251908386
2023-10-20,-0.014917876031280475,-0.045097984434463334
2023-10-23,0.0030173102866375423,0.008800201386112816
2023-10-24,0.00972816196967119,0.028205718757161824
2023-10-25,-0.024475551545065977,-0.07324644967062999
2023-10-26,-0.019067434178619336,-0.05828503987589573
2023-10-27,0.004801378602977913,0.014257902608431072
2023-10-30,0.011265359464727842,0.032268380109098826
2023-10-31,0.004782177207019567,0.014546372604219648
2023-11-01,0.017356692300391163,0.05155593998501429
2023-11-02,0.018153626891482366,0.05308968928757407
2023-11-03,0.011748732722301813,0.03526178712548411
2023-11-06,0.004079205854551793,0.011442189439817119
2023-11-07,0.009452563603425501,0.02815051021326953
2023-11-08,0.0006440472626250138,0.0017911475514844621
2023-11-09,-0.007695511519037912,-0.023754712637982234
2023-11-10,0.022482217303140706,0.06671920727741698
2023-11-13,-0.0031185808571158047,-0.009075511095910316
2023-11-14,0.021526459334979098,0.06287145396911575
2023-11-15,0.0007525755086899011,0.002794622737771979
2023-11-16,0.0008558344710545285,0.0016255021161957206
2023-11-17,0.00023316615221502524,0.0006954872950006852
2023-11-20,0.012174869859916893,0.03568127875647864
2023-11-21,-0.005809560486797816,-0.018120798439368424
2023-11-22,0.00409310424461351,0.011619799331723524
2023-11-24,-0.0014102334828997032,-0.00495485483715663
2023-11-27,-0.0008725878916969743,-0.002942476340492939
2023-11-28,0.0026208437090939896,0.007945383116267246
2023-11-29,-0.0009738342610093875,-0.0036034907478690315
2023-11-30,-0.0025141490226883167,-0.00836349091665256
2023-12-01,0.0028548928205558433,0.008434028840248908
2023-12-04,-0.009283499684489382,-0.02848101265822789
2023-12-05,0.0025107924973701845,0.007212663550121956
2023-12-06,-0.005783938612446637,-0.01778724355460437
2023-12-07,0.013972446631133062,0.04186271478670056
2023-12-08,0.004456469310322619,0.011964054859620266
2023-12-11,0.008542229603851315,0.025429287619433083
2023-12-12,0.00796429404379495,0.024146239485348442
2023-12-13,0.012717256161088208,0.03525915880084485
2023-12-14,-0.0008668538103729917,-0.0016413509040992258
2023-12-15,0.004833826168813449,0.011919498571775877
2023-12-18,0.006298733828365766,0.020917934912553893
2023-12-19,0.005109691828007357,0.014919573577968137
2023-12-20,-0.0148599178871347,-0.044431866497331995
2023-12-21,0.011635641247576434,0.03316847748692786
2023-12-22,0.0014959264075280476,0.0039879324586067355
2023-12-26,0.006121683386680177,0.0182721956574754
2023-12-27,0.0020357491965994345,0.005266207343279872
2023-12-28,-0.00048607453736992934,-0.002522368328791713
2023-12-29,-0.004327800082532751,-0.01381057964984167
2024-01-02,-0.01692217477598945,-0.05069020995489548
2024-01-03,-0.010581507998646433,-0.031996800425142746
2024-01-04,-0.005146548245592353,-0.016741658864586006
2024-01-05,0.0011860807786874261,0.0037109178581662405
2024-01-08,0.020667941774197285,0.06024358328286916
2024-01-09,0.0019755947615462954,0.006564204273263208
2024-01-10,0.0067775365998898884,0.01976759375524284
2024-01-11,0.002080931535572317,0.004796178932829465
2024-01-12,0.000512866876154483,0.0011933019875018935
2024-01-16,-9.773558904158097e-05,-0.0005959011777229017
2024-01-17,-0.005640775089631678,-0.017292831445807066
2024-01-18,0.014194193904832897,0.04288028260651067
2024-01-19,0.01983104206742281,0.05779672384727408
2024-01-22,0.0013058188540693294,0.004033660774926728
2024-01-23,0.004149599222557532,0.011870027072241163
2024-01-24,0.005549277066623892,0.01642296880890437
2024-01-25,0.0012210765895217524,0.0028410570076260466
2024-01-26,-0.005957432107238647,-0.01841372635531291
2024-01-29,0.010240448889696552,0.029401139387047914
2024-01-30,-0.00665657039801093,-0.019975348713081487
2024-01-31,-0.01958613376241891,-0.05882359084806532
2024-02-01,0.011775472971040646,0.03533433467120428
2024-02-02,0.016900510343830222,0.05027534371161102
2024-02-05,-0.0013053299019669673,-0.005066514070274919
2024-02-06,-0.0020073391945816255,-0.0057944478798173105
2024-02-07,0.010290379090099666,0.029848009468981918
2024-02-08,0.001851862683821981,0.004115879079923168
2024-02-09,0.009842989076612518,0.02937673434472976
2024-02-12,-0.003912624791459041,-0.011780352342501521
2024-02-13,-0.015597021681508005,-0.04734718942386906
2024-02-14,0.010897288538091132,0.031723652760881516
2024-02-15,0.002977713843001384,0.008370314278774993
2024-02-16,-0.009067676739380914,-0.027443648010082478
2024-02-20,-0.00754817851142664,-0.023166814112649425
2024-02-21,-0.004001786648394456,-0.012482124001273798
2024-02-22,0.029275738766209702,0.08649338956253239
2024-02-23,-0.002944676422182324,-0.009140789832121188
2024-02-26,-0.0005266573639151062,-0.0013419013665917356
2024-02-27,0.002405265367651621,0.0062143716206264354
2024-02-28,-0.005324517560880371,-0.016190885023538604
