Date,QQQ,TQQQ
2023-09-26,349.90875244140625,33.63747024536133
2023-09-27,350.7286376953125,33.842281341552734
2023-09-28,353.66259765625,34.66151809692383
2023-09-29,353.9194030761719,34.73953628540039
2023-10-02,356.87310791015625,35.56853103637695
2023-10-03,350.6101989746094,33.68623733520508
2023-10-04,355.3815002441406,35.0516242980957
2023-10-05,354.3343811035156,34.68102264404297
2023-10-06,360.2713928222656,36.42677688598633
2023-10-09,362.10882568359375,36.96318817138672
2023-10-10,364.1141662597656,37.56785583496094
2023-10-11,366.712158203125,38.367584228515625
2023-10-12,365.4378662109375,37.9189567565918
2023-10-13,360.8443298339844,36.48529815673828
2023-10-16,364.9242248535156,37.71414566040039
2023-10-17,363.7288818359375,37.353294372558594
2023-10-18,358.9574890136719,35.773338317871094
2023-10-19,355.59881591796875,34.817562103271484
2023-10-20,350.2940368652344,33.24736022949219
2023-10-23,351.3509826660156,33.53994369506836
2023-10-24,354.76898193359375,34.4859619140625
2023-10-25,346.0858154296875,31.95998764038086
2023-10-26,339.4868469238281,30.097198486328125
2023-10-27,341.1168518066406,30.526321411132812
2023-10-30,344.95965576171875,31.511356353759766
2023-10-31,346.60931396484375,31.9697322845459
2023-11-01,352.62530517578125,33.61796188354492
2023-11-02,359.0267333984375,35.40272903442383
2023-11-03,363.2448425292969,36.651092529296875
2023-11-06,364.7265930175781,37.07046127319336
2023-11-07,368.1741943359375,38.114013671875
2023-11-08,368.41131591796875,38.182281494140625
2023-11-09,365.5762023925781,37.275272369384766
2023-11-10,373.795166015625,39.76224899291992
2023-11-13,372.62945556640625,39.40138626098633
2023-11-14,380.6508483886719,41.87860870361328
2023-11-15,380.93731689453125,41.995643615722656
2023-11-16,381.2633361816406,42.063907623291016
2023-11-17,381.35223388671875,42.093162536621094
2023-11-20,385.9951477050781,43.59510040283203
2023-11-21,383.752685546875,42.80512237548828
2023-11-22,385.32342529296875,43.30250930786133
2023-11-24,384.780029296875,43.08795166015625
2023-11-27,384.44427490234375,42.96116638183594
2023-11-28,385.45184326171875,43.30250930786133
2023-11-29,385.07647705078125,43.14646911621094
2023-11-30,384.10833740234375,42.785614013671875
2023-12-01,385.2049255371094,43.14646911621094
2023-12-04,381.6288757324219,41.9176139831543
2023-12-05,382.5870666503906,42.21995162963867
2023-12-06,380.37420654296875,41.46897506713867
2023-12-07,385.68896484375,43.204978942871094
2023-12-08,387.40777587890625,43.721885681152344
2023-12-11,390.71710205078125,44.833702087402344
2023-12-12,393.8288879394531,45.91626739501953
2023-12-13,398.8373107910156,47.53523635864258
2023-12-14,398.4915771484375,47.45721435546875
2023-12-15,400.4178161621094,48.02288055419922
2023-12-18,402.93994140625,49.02742004394531
2023-12-19,404.99884033203125,49.758888244628906
2023-12-20,398.9805908203125,47.54800796508789
2023-12-21,403.62298583984375,49.12510299682617
2023-12-22,404.2267761230469,49.32101058959961
2023-12-26,406.7013244628906,50.22221374511719
2023-12-27,407.5292663574219,50.4866943359375
2023-12-28,407.3311767578125,50.35934829711914
2023-12-29,405.5683288574219,49.663856506347656
2024-01-02,398.7052307128906,47.146385192871094
2024-01-03,394.486328125,45.63785171508789
2024-01-04,392.4560852050781,44.87379837036133
2024-01-05,392.92156982421875,45.040321350097656
2024-01-08,401.0424499511719,47.75371170043945
2024-01-09,401.8347473144531,48.067176818847656
2024-01-10,404.5581970214844,49.01734924316406
2024-01-11,405.4000549316406,49.252445220947266
2024-01-12,405.60797119140625,49.31121826171875
2024-01-16,405.5683288574219,49.28183364868164
2024-01-17,403.2806091308594,48.42961120605469
2024-01-18,409.0048522949219,50.50628662109375
2024-01-19,417.1158447265625,53.425384521484375
2024-01-22,417.6605224609375,53.64088439941406
2024-01-23,419.3936462402344,54.27760314941406
2024-01-24,421.7209777832031,55.169002532958984
2024-01-25,422.2359313964844,55.325740814208984
2024-01-26,419.7204895019531,54.30698776245117
2024-01-29,424.01861572265625,55.9036750793457
2024-01-30,421.19610595703125,54.78697967529297
2024-01-31,412.9465026855469,51.564212799072266
2024-02-01,417.80914306640625,53.386199951171875
2024-02-02,424.8703308105469,56.07020950317383
2024-02-05,424.31573486328125,55.786128997802734
2024-02-06,423.4639892578125,55.4628791809082
2024-02-07,427.82159423828125,57.11833572387695
2024-02-08,428.6138610839844,57.35342788696289
2024-02-09,432.83270263671875,59.03828430175781
2024-02-12,431.1391906738281,58.34279251098633
2024-02-13,424.4147033691406,55.58042526245117
2024-02-14,429.0396728515625,57.3436393737793
2024-02-15,430.3172302246094,57.82362365722656
2024-02-16,426.4152526855469,56.236732482910156
2024-02-20,423.19659423828125,54.93390655517578
2024-02-21,421.5030517578125,54.24821472167969
2024-02-22,433.8428649902344,58.94032669067383
2024-02-23,432.5653381347656,58.40156555175781
2024-02-26,432.3375244140625,58.32319641113281
2024-02-27,433.3774108886719,58.685638427734375
2024-02-28,431.06988525390625,57.73546600341797
2024-02-29,434.763916015625,59.126441955566406
2024-03-01,441.31011962890625,61.8398323059082
2024-03-04,439.7354736328125,61.105159759521484
2024-03-05,431.8423767089844,57.83342361450195
2024-03-06,434.5559387207031,58.90114212036133
2024-03-07,441.1517028808594,61.5263786315918
2024-03-08,434.78369140625,58.832576751708984
2024-03-11,433.16943359375,58.14687728881836
2024-03-12,439.37890625,60.61537551879883
2024-03-13,436.0018310546875,59.20480728149414
2024-03-14,434.9025573730469,58.72481918334961
2024-03-15,429.73291015625,56.5795783996582
2024-03-18,433.8315124511719,58.176265716552734
2024-03-19,434.9123840332031,58.5778923034668
