Date,XLK,XLF,XLV,XLE,XLI,XLY,XLP,XLU,XLB
2020-09-08 00:00:00-04:00,108.27326202392578,22.508281707763672,96.04850769042969,27.465648651123047,70.72259521484375,139.4674072265625,56.29191589355469,50.557029724121094,57.256778717041016
2020-09-09 00:00:00-04:00,111.80619812011719,22.736658096313477,97.74848937988281,27.653663635253906,71.815185546875,142.0986785888672,57.10785675048828,51.22496032714844,58.7327880859375
2020-09-10 00:00:00-04:00,109.28128814697266,22.41693687438965,96.25179290771484,26.64004135131836,70.89852905273438,140.0628204345703,56.40597152709961,50.342960357666016,58.180419921875
2020-09-11 00:00:00-04:00,108.44605255126953,22.572223663330078,96.63056945800781,26.66456413269043,71.86149597167969,140.27407836914062,56.7218132019043,50.46283721923828,58.92295455932617
2020-09-14 00:00:00-04:00,110.72135925292969,22.8828125,98.01641845703125,26.868927001953125,72.83372497558594,141.7625732421875,57.09031295776367,51.156455993652344,59.77415466308594
2020-09-15 00:00:00-04:00,111.81580352783203,22.572223663330078,98.14576721191406,26.672744750976562,72.8800048828125,142.92457580566406,57.0113525390625,51.49898147583008,60.06393814086914
2020-09-16 00:00:00-04:00,110.08772277832031,22.828004837036133,97.9794692993164,27.743576049804688,73.6207504272461,142.12750244140625,56.75691223144531,51.430477142333984,60.10920333862305
2020-09-17 00:00:00-04:00,109.17569732666016,22.590497970581055,97.6561050415039,27.78445053100586,73.7688980102539,140.1300506591797,56.39719009399414,51.01089096069336,60.55290603637695
2020-09-18 00:00:00-04:00,107.29402923583984,22.544824600219727,97.5082778930664,27.47382354736328,72.94483184814453,138.1805877685547,55.87954330444336,50.111751556396484,59.511558532714844
2020-09-21 00:00:00-04:00,108.18595886230469,21.979936599731445,95.7069320678711,26.563180923461914,70.5234146118164,136.18463134765625,55.453250885009766,49.799957275390625,57.508182525634766
2020-09-22 00:00:00-04:00,109.89861297607422,21.796239852905273,95.50286102294922,26.288991928100586,71.22056579589844,139.0621337890625,55.77981185913086,50.11088943481445,57.61735153198242
2020-09-23 00:00:00-04:00,106.47327423095703,21.309431076049805,94.51964569091797,25.1008358001709,69.94709777832031,136.78128051757812,54.94135665893555,49.34220504760742,55.92513656616211
2020-09-24 00:00:00-04:00,107.06983947753906,21.35535430908203,94.04660034179688,25.092525482177734,70.04934692382812,136.72357177734375,55.34733963012695,49.89496612548828,56.3254508972168
2020-09-25 00:00:00-04:00,109.62918853759766,21.57579231262207,95.55853271484375,25.075908660888672,71.0997085571289,138.5039520263672,55.63860321044922,50.7154655456543,56.825836181640625
2020-09-28 00:00:00-04:00,111.72671508789062,22.090158462524414,96.42115783691406,25.665830612182617,72.38246154785156,141.40065002441406,56.26523971557617,50.84502029418945,57.744728088378906
2020-09-29 00:00:00-04:00,111.35148620605469,21.814607620239258,96.30058288574219,24.959583282470703,71.74109649658203,140.3035888671875,55.89454650878906,50.827735900878906,57.31711959838867
2020-09-30 00:00:00-04:00,112.2847671508789,22.108531951904297,97.8403549194336,24.884803771972656,71.55518341064453,141.4487762451172,56.57414245605469,51.285499572753906,57.899383544921875
2020-10-01 00:00:00-04:00,113.4682388305664,22.145267486572266,97.50642395019531,24.120399475097656,71.34138488769531,143.2965545654297,56.891883850097656,51.8036994934082,57.0805778503418
2020-10-02 00:00:00-04:00,110.59133911132812,22.319787979125977,96.615966796875,24.353046417236328,72.14078521728516,142.6902618408203,56.57414245605469,52.41691589355469,57.590057373046875
2020-10-05 00:00:00-04:00,113.01602172851562,22.68719482421875,98.60095977783203,25.084218978881836,73.30268096923828,144.5764617919922,56.95365905761719,53.073326110839844,58.69091796875
2020-10-06 00:00:00-04:00,111.2648696899414,22.457565307617188,97.29308319091797,24.710323333740234,72.41035461425781,141.901123046875,56.58297348022461,53.52243423461914,57.95398712158203
2020-10-07 00:00:00-04:00,113.30467224121094,22.834150314331055,99.12967681884766,25.059289932250977,74.00914001464844,145.14427185058594,57.19196701049805,53.85063552856445,59.446041107177734
2020-10-08 00:00:00-04:00,113.89158630371094,23.14645004272461,99.61200714111328,25.998184204101562,74.74347686767578,146.09701538085938,57.57147979736328,54.83523941040039,60.046512603759766
2020-10-09 00:00:00-04:00,115.63309478759766,23.173999786376953,100.51176452636719,25.582744598388672,75.02232360839844,147.6175537109375,58.02159881591797,54.826595306396484,60.51051712036133
2020-10-12 00:00:00-04:00,118.78901672363281,23.43118667602539,101.19816589355469,25.649215698242188,75.44990539550781,149.58078002929688,58.69237518310547,55.17206954956055,60.41041564941406
2020-10-13 00:00:00-04:00,118.02890014648438,22.981115341186523,100.42827606201172,25.250389099121094,74.61333465576172,149.5519256591797,58.648231506347656,54.79204559326172,59.87364196777344
2020-10-14 00:00:00-04:00,117.40348052978516,22.76067543029785,99.84391021728516,25.358407974243164,75.0316162109375,147.89663696289062,58.34816360473633,54.722957611083984,60.046512603759766
2020-10-15 00:00:00-04:00,116.87432098388672,22.9351863861084,99.12039947509766,25.665830612182617,75.30117797851562,148.4451904296875,58.38346481323242,54.688392639160156,59.87364196777344
2020-10-16 00:00:00-04:00,116.53754425048828,22.95355796813965,100.10362243652344,25.084218978881836,75.84960174560547,147.09786987304688,58.40111541748047,55.27571105957031,60.29214859008789
2020-10-19 00:00:00-04:00,114.40155792236328,22.60452651977539,98.51748657226562,24.552453994750977,74.91077423095703,145.2886505126953,57.642086029052734,54.80931091308594,59.591609954833984
2020-10-20 00:00:00-04:00,114.79601287841797,22.788230895996094,98.6473388671875,24.843259811401367,75.30117797851562,146.45310974121094,57.58029556274414,55.13752746582031,59.72808074951172
