Date,AAPL,GOOGL,MSFT,AMZN,TSLA,JPM,JNJ,V,WMT,PG,SPY
2020-09-08 00:00:00-04:00,109.74203491210938,75.72583770751953,194.3155517578125,157.49200439453125,110.06999969482422,87.37301635742188,127.68505096435548,193.08465576171875,43.04866409301758,120.12641143798828,
2020-09-09 00:00:00-04:00,114.11924743652344,76.90030670166016,202.59017944335935,163.4304962158203,122.09333038330078,88.2037124633789,129.80072021484375,196.8861083984375,43.49640655517578,122.07933044433594,
2020-09-10 00:00:00-04:00,110.39373016357422,75.84761047363281,196.9139709472656,158.7554931640625,123.77999877929688,87.2943115234375,127.3816146850586,194.45474243164065,42.53873062133789,120.79800415039062,
2020-09-11 00:00:00-04:00,108.94441223144533,75.336181640625,195.6291656494141,155.81100463867188,124.23999786376952,88.37860107421875,128.1359405517578,193.6249542236328,42.5045280456543,122.07047271728516,311.0493469238281
2020-09-14 00:00:00-04:00,112.21272277832033,74.99175262451172,196.95233154296875,155.14849853515625,139.8733367919922,89.60281372070312,128.630126953125,197.7737579345703,42.697303771972656,122.50347137451172,315.1462707519531
2020-09-15 00:00:00-04:00,112.3878173828125,76.29840850830078,200.18353271484375,157.80650329589844,149.9199981689453,86.8133773803711,129.098388671875,198.1693420410156,42.709747314453125,122.50347137451172,316.7384338378906
2020-09-16 00:00:00-04:00,109.07083892822266,75.1537857055664,196.6071624755859,153.90499877929688,147.25332641601562,87.18062591552734,128.6735076904297,197.9185028076172,42.367713928222656,121.68167877197266,315.4814758300781
2020-09-17 00:00:00-04:00,107.32968139648438,73.90873718261719,194.5552673339844,150.43649291992188,141.14332580566406,86.18379211425781,127.60701751708984,198.05357360839844,42.50141143798828,121.52263641357422,312.7066650390625
2020-09-18 00:00:00-04:00,103.92516326904295,72.1219482421875,192.1389923095703,147.74549865722656,147.38333129882812,86.00016784667969,129.3498077392578,195.48712158203125,42.06611633300781,121.39004516601562,309.10662841796875
2020-09-21 00:00:00-04:00,107.0767822265625,71.08070373535156,194.2005157470703,148.02349853515625,149.79666137695312,83.34188842773438,125.81218719482422,190.50851440429688,42.619571685791016,120.8068389892578,305.6664123535156
2020-09-22 00:00:00-04:00,108.7595672607422,72.55586242675781,198.8795623779297,156.44949340820312,141.41000366210938,82.4324722290039,125.04052734375,193.5091552734375,43.00513458251953,121.91140747070312,308.77947998046875
2020-09-23 00:00:00-04:00,104.19754028320312,70.04938507080078,192.33078002929688,149.9929962158203,126.7866668701172,81.0946044921875,125.23993682861328,188.5015869140625,42.28377151489258,120.45335388183594,301.6185302734375
2020-09-24 00:00:00-04:00,105.26750946044922,70.7188720703125,194.82376098632812,150.989501953125,129.26333618164062,81.02464294433594,125.43933868408205,188.64634704589844,42.5045280456543,120.99243927001952,302.4224548339844
2020-09-25 00:00:00-04:00,109.2167510986328,71.5240478515625,199.26312255859375,154.75650024414062,135.77999877929688,81.73294067382812,126.29776000976562,190.3155212402344,42.6817512512207,121.6109848022461,307.31170654296875
2020-09-28 00:00:00-04:00,111.82365417480467,72.49819946289062,200.81639099121097,158.70249938964844,140.39999389648438,84.08513641357422,127.55500030517578,193.2776031494141,42.675540924072266,121.95563507080078,312.416015625
2020-09-29 00:00:00-04:00,110.97737884521484,72.864013671875,198.72613525390625,157.24400329589844,139.69000244140625,83.3768539428711,127.51160430908205,192.42852783203125,42.64133834838867,121.2928466796875,310.71453857421875
2020-09-30 00:00:00-04:00,112.6504364013672,72.84313201904297,201.6697540283203,157.43649291992188,143.00332641601562,84.18133544921875,129.08973693847656,192.9398956298828,43.50263214111328,122.82161712646484,313.07037353515625
2020-10-01 00:00:00-04:00,113.6037139892578,73.95149230957031,203.71206665039065,161.06300354003906,149.3866729736328,84.79344177246094,127.73709106445312,196.2010803222656,44.48828125,123.04254150390624,315.08026123046875
2020-10-02 00:00:00-04:00,109.93655395507812,72.34611511230469,197.70021057128903,156.25,138.3633270263672,85.59791564941406,126.8006591796875,194.37757873535156,43.686073303222656,122.05282592773438,312.08880615234375
2020-10-05 00:00:00-04:00,113.32164764404295,73.69950866699219,201.7176818847656,159.9600067138672,141.89332580566406,87.4071273803711,128.52610778808594,196.38442993164065,44.09028244018555,123.1750717163086,317.6230773925781
2020-10-06 00:00:00-04:00,110.07275390625,72.11849212646484,197.43174743652344,154.9980010986328,137.9933319091797,86.50694274902344,126.81795501708984,193.40304565429688,43.72650146484375,123.36949157714844,313.10772705078125
2020-10-07 00:00:00-04:00,111.94037628173828,72.52206420898438,201.19032287597656,159.7845001220703,141.76666259765625,88.01608276367188,128.22265625,195.35202026367188,43.80733871459961,124.33268737792967,318.55792236328125
2020-10-08 00:00:00-04:00,111.8333740234375,73.72932434082031,201.9094696044922,159.52749633789062,141.97332763671875,89.82530975341797,129.098388671875,195.84408569335935,43.95347595214844,125.17218780517578,321.3811950683594
2020-10-09 00:00:00-04:00,113.77880096435548,75.072265625,206.9241485595703,164.33250427246094,144.6666717529297,89.31343078613281,130.90187072753906,199.3754119873047,44.39501190185547,126.29443359375,324.2511291503906
2020-10-12 00:00:00-04:00,121.006103515625,77.76313781738281,212.2839202880859,172.14649963378906,147.43333435058594,90.40779113769533,131.65626525878906,199.1438751220703,44.85206985473633,127.68181610107422,329.4675598144531
2020-10-13 00:00:00-04:00,117.79611206054688,77.88639068603516,213.683837890625,172.18150329589844,148.88333129882812,88.9427490234375,128.63882446289062,197.13699340820312,45.467716217041016,127.4343719482422,327.3174743652344
